SEANCE,GROUPE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX,IND_RES
----------,-------,------,------------------,-----------,-----------,-----------,-----------,------------------,---------------,-----------------,-------
04/01/2016,11,100010,MONOPRIX,14.190,13.900,13.770,14.190,2008,21,27847.950,
04/01/2016,11,110025,SFBT,22.800,23.400,22.450,23.430,4801,28,109693.230,
04/01/2016,11,120040,TUNISAIR,0.820,0.810,0.800,0.820,12317,13,9941.510,
04/01/2016,11,160015,ATTIJARI,BANK,24.190,24.220,24.150,24.300,6115,23,148030.950
04/01/2016,11,180045,BIAT,76.350,76.900,76.350,77.000,286,6,21948.340,
04/01/2016,11,190060,BH,12.200,12.510,11.790,12.510,2174,23,26294.500,
04/01/2016,11,210090,TUNISIE,LEASING,16.700,16.700,16.700,16.700,149,2,2488.300
04/01/2016,11,220005,BT,9.100,9.000,8.950,9.100,9294,24,83541.140,
04/01/2016,11,260095,STB,5.500,5.600,5.500,5.600,551,7,3036.400,
04/01/2016,11,310060,BNA,11.500,11.180,11.160,11.500,485,8,5424.200,
04/01/2016,11,340005,AMEN,BANK,23.400,23.400,23.400,23.500,181,5,4238.300
04/01/2016,11,360035,ATB,4.200,4.200,4.190,4.200,6467,7,27105.420,
04/01/2016,11,390010,UIB,15.980,15.900,15.850,15.980,601,4,9530.150,
04/01/2016,11,400005,SIMPAR,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,11,420085,CIL,15.290,15.290,15.290,15.290,1,1,15.290,
04/01/2016,11,470010,ATL,2.830,2.830,2.830,2.830,225,4,636.750,
04/01/2016,11,606001,STAR,156.000,160.000,156.000,160.000,129,4,20324.000,
04/01/2016,11,653001,SOTETEL,1.200,1.230,1.200,1.230,824,11,1000.330,
04/01/2016,11,656001,SOTUVER,2.980,3.060,2.980,3.060,14709,49,44457.870,H
04/01/2016,11,658001,SOTUMAG,2.010,2.030,1.940,2.040,169479,191,332527.780,
04/01/2016,11,659001,SIAME,2.300,2.240,2.240,2.300,1960,13,4393.400,
04/01/2016,11,665001,ELECTROSTAR,3.880,3.730,3.720,3.900,2643,45,9946.570,
04/01/2016,11,666001,SOTRAPIL,9.190,9.190,9.190,9.190,400,1,3676.000,
04/01/2016,11,672004,MODERN,LEASING,4.490,4.490,4.490,4.490,480,2,2155.200
04/01/2016,11,678001,SOMOCER,2.070,2.130,2.030,2.150,62027,155,130739.460,
04/01/2016,11,713001,GIF-FILTER,2.400,2.420,2.400,2.430,4410,20,10596.910,
04/01/2016,11,714001,ASSAD,5.300,5.350,5.200,5.350,2247,14,11853.900,
04/01/2016,11,718001,SITS,2.300,2.350,2.300,2.350,5320,37,12239.900,
04/01/2016,11,721001,ESSOUKNA,3.980,3.980,3.980,3.980,120,1,477.600,
04/01/2016,11,725001,ADWYA,6.400,6.330,6.330,6.400,220,2,1406.600,
04/01/2016,11,727001,TPR,3.140,3.180,3.140,3.180,3183,9,10074.250,
04/01/2016,11,729001,SOPAT,2.340,2.430,2.340,2.430,620,2,1495.800,
04/01/2016,11,730001,ARTES,6.070,6.150,6.000,6.150,955,7,5773.100,
04/01/2016,11,731013,HANNIBAL,LEASE,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,11,738001,TUNIS,RE,9.100,9.100,9.100,9.100,5,1,45.500
04/01/2016,11,741001,ENNAKL,AUTOMOBILES,11.700,11.750,11.650,11.750,1810,20,21148.450
04/01/2016,11,744001,TELNET,HOLDING,3.340,3.430,3.340,3.430,84,4,280.650
04/01/2016,11,755001,CITY,CARS,13.500,13.500,13.500,13.500,1250,3,16875.000
04/01/2016,11,757001,EURO-CYCLES,35.180,36.450,34.100,36.450,6253,110,220045.830,H
04/01/2016,11,759001,CELLCOM,8.500,8.490,8.310,8.500,675,8,5633.150,
04/01/2016,11,761001,SAH,9.750,9.700,9.700,9.750,2126,9,20665.100,
04/01/2016,11,762001,MPBS,5.400,5.490,5.400,5.490,4699,21,25611.710,
04/01/2016,11,763001,SOTIPAPIER,4.080,4.050,3.940,4.080,285,5,1129.440,
04/01/2016,11,767001,DELICE,HOLDING,13.020,13.490,13.000,13.500,846,10,11017.490
04/01/2016,11,769001,UADH,7.070,7.070,7.070,7.070,550,2,3888.500,
04/01/2016,12,130055,BTE,(ADP),17.630,18.150,17.630,18.150,681,8,12177.350
04/01/2016,12,240050,UBCI,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,250065,PLAC.,TSIE-SICAF,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,12,300045,ASTREE,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,320075,ICF,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,330090,ELBENE,INDUSTRIE,3.690,3.690,3.690,3.690,40,1,147.600
04/01/2016,12,380070,ALKIMIA,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,410020,TUNINVEST-SICAR,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,644001,MAGASIN,GENERAL,22.200,22.200,22.200,22.200,75,1,1665.000
04/01/2016,12,655001,ASSURANCES,SALIM,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,12,664001,STEQ,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,667001,SIPHAT,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,12,758001,BEST,LEASE,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,13,430030,SITEX,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,130057,BTE0919,5.25%AP10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,130058,BTE0920,5.2%AP10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,130059,BTE0920,T+0.7%AP10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,130060,BTE0930,5.85%AP20,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,130061,BTE0219,T+1.3P7-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,130062,BTE0232,6.25%P20,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,160045,JBS1022T+2.1%,P7-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,190083,BH1224,T+0.8%P15-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,190084,BH1224,5.3%P15-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,190088,BHSA0520T+1.95%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,190089,BHSB0522,7.5%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210150,TL0616,5.75%AP5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210151,TL0616,T+0.9%AP5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210152,TL1016,5.95%P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210153,TL1016,T+1.25%P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210154,TL0117,5.85%P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210155,TL0117,T+1.35%P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210157,TL0517,T+1.75%AP5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210158,TL0519,6.25%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210166,TLSUB0518,7%P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210167,TLSUB0518,T+2.25P5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,210172,TLSA0219T+2.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,210184,TL,A0520T+2.3%AP5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260099,STB0524,T+1.5%AP16,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260100,STB0528T+1.75%AP20,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,260101,STB0533,T+2.0%AP25,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260102,STB0225,6.5%AP16,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260103,STB0320,T+0.70%P10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260104,STB0325,5.30%P15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,260106,STB,SB0122T+1.3P10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,310067,BNA0424,5.4%AP15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340032,AB0523,6.5%AP15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340033,AB0528,7.0%AP20,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340034,ABSB0924,5.45%P15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340035,ABSB0924,T+0.85P15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340040,AB0825,T+0.85%AP15,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340041,ABSB0921,6.1%P10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340042,ABSB0921,T+1%P10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340043,ABSUB0922,6.25%P10,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340044,ABSUB0922T+1.3%P10,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,340048,ABS,A02207.35%AP5,0.000,0.000,0.000,0.000,0,0,0.000
04/01/2016,21,340049,ABSA0220T+1.9%AP5,0.000,0.000,0.000,0.000,0,0,0.000,
04/01/2016,21,340050,ABSB02227.45%AP7-2,0.000,0.000,0.000,0.000,0,0,0.000,
