SEANCE,GROUPE,CODE,VALEUR,OUVERTURE,CLOTURE,PLUS_BAS,PLUS_HAUT,QUANTITE_NEGOCIEE,NB_TRANSACTION,CAPITAUX
----------,-------,------------,--------------------,-----------,-----------,-----------,-----------,------------------,---------------,-----------------
04/01/2021,11,TN0001000108,MONOPRIX,6.160,6.020,6.020,6.290,712,11,4308.750
04/01/2021,11,TN0001100254,SFBT,19.010,18.800,18.750,19.010,26225,87,493305.570
04/01/2021,11,TN0001200401,TUNISAIR,0.590,0.580,0.580,0.580,22816,42,13233.280
04/01/2021,11,TN0001500859,AMS,0.900,0.880,0.880,0.920,2115,10,1865.200
04/01/2021,11,TN0001800457,BIAT,94.300,93.290,93.290,93.500,723,15,67555.960
04/01/2021,11,TN0001900604,BH,9.190,8.930,8.920,9.000,2945,14,26335.150
04/01/2021,11,TN0002200053,BT,6.800,6.660,6.600,6.790,23867,82,158601.140
04/01/2021,11,TN0002600955,STB,3.350,3.360,3.290,3.390,1765,6,5905.930
04/01/2021,11,TN0003100609,BNA,8.840,8.600,8.580,8.600,4947,20,42523.790
04/01/2021,11,TN0003200755,ICF,70.000,69.800,68.550,69.800,34,4,2331.960
04/01/2021,11,TN0003600350,ATB,2.860,2.940,2.930,2.940,7882,6,23150.780
04/01/2021,11,TN0003900107,UIB,17.140,17.140,17.110,17.200,8388,14,144084.610
04/01/2021,11,TN0004000055,SIMPAR,33.000,33.000,0.000,0.000,0,0,0.000
04/01/2021,11,TN0004200853,CIL,16.140,16.350,16.350,16.620,768,5,12559.230
04/01/2021,11,TN0004700100,ATL,1.590,1.590,1.560,1.590,2026,16,3177.610
04/01/2021,11,TN0006530018,SOTETEL,4.880,4.840,4.800,4.940,2429,19,11672.580
04/01/2021,11,TN0006560015,SOTUVER,6.980,6.870,6.850,6.970,15287,34,105328.220
04/01/2021,11,TN0006580013,SOTUMAG,3.180,3.180,3.180,3.180,63,3,200.340
04/01/2021,11,TN0006590012,SIAME,4.090,4.050,3.970,4.050,10999,31,44043.140
04/01/2021,11,TN0006650014,ELECTROSTAR,1.190,1.220,1.160,1.220,850,6,992.050
04/01/2021,11,TN0006660013,SOTRAPIL,11.800,12.100,11.710,12.100,18,4,216.720
04/01/2021,11,TN0006780019,SOMOCER,1.000,1.040,1.010,1.050,282689,235,292555.590
04/01/2021,11,TN0007130016,GIF-FILTER,1.370,1.310,1.310,1.370,37499,91,49828.120
04/01/2021,11,TN0007140015,ASSAD,4.440,4.440,4.400,4.500,1195,12,5273.040
04/01/2021,11,TN0007210016,ESSOUKNA,2.860,2.860,2.860,2.860,20,2,57.200
04/01/2021,11,TN0007250012,ADWYA,4.470,4.500,4.350,4.540,8161,18,36628.320
04/01/2021,11,TN0007270010,TPR,4.150,4.000,3.910,4.030,32861,146,129248.350
04/01/2021,11,TN0007290018,SOPAT,1.300,1.320,1.300,1.320,685,7,903.250
04/01/2021,11,TN0007300015,ARTES,4.100,4.100,4.060,4.100,11,2,44.700
04/01/2021,11,TN0007340011,SERVICOM,2.010,2.000,1.970,2.000,10612,26,20946.880
04/01/2021,11,TN0007570013,EURO-CYCLES,25.600,25.460,25.400,25.960,15766,83,402969.960
04/01/2021,11,TN0007590011,CELLCOM,4.970,4.950,4.830,4.950,15,2,73.050
04/01/2021,11,TN0007610017,SAH,12.300,12.180,12.180,12.350,18682,79,227927.920
04/01/2021,11,TN0007620016,MPBS,3.840,3.730,3.730,3.810,1775,20,6631.320
04/01/2021,11,TN0007630015,SOTIPAPIER,4.600,4.600,4.480,4.670,6376,20,29063.760
04/01/2021,11,TN0007640014,CEREALIS,9.200,9.450,9.450,9.450,1,1,9.450
04/01/2021,11,TN0007690019,UADH,2.770,2.720,2.720,2.840,127024,222,347217.280
04/01/2021,11,TN0007720014,UNIMED,9.750,9.550,9.550,9.600,8421,19,80814.480
04/01/2021,12,TN0002400505,UBCI,20.120,20.150,20.150,20.150,99,2,1994.850
04/01/2021,12,TN0003000452,ASTREE,59.500,59.500,0.000,0.000,0,0,0.000
04/01/2021,12,TN0003800703,ALKIMIA,47.800,47.800,0.000,0.000,0,0,0.000
04/01/2021,12,TN0004100202,TUNINVEST-SICAR,14.300,14.500,14.500,14.500,2,1,29.000
04/01/2021,12,TN0006060016,STAR,122.980,119.300,119.300,119.300,50,4,5965.000
04/01/2021,12,TN0006640015,STEQ,6.500,6.500,0.000,0.000,0,0,0.000
04/01/2021,12,TN0006670012,SIPHAT,3.840,3.840,0.000,0.000,0,0,0.000
04/01/2021,12,TN0007180011,SITS,2.360,2.360,2.360,2.360,70534,11,166460.240
04/01/2021,12,TN0007500010,AETECH,0.610,0.630,0.600,0.600,15,1,9.000
04/01/2021,12,TN0007600018,SOTEMAIL,3.540,3.540,0.000,0.000,0,0,0.000
04/01/2021,12,TN0007700016,OFFICEPLAST,2.100,2.150,2.150,2.150,102,2,219.300
04/01/2021,12,TN0007730013,SANIMED,1.910,1.960,1.960,1.960,50,2,98.000
04/01/2021,13,TN0004300307,SITEX,5.960,6.130,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001300698,"BTEB0127T+3,25P7-2",100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001600485,TJARISA0522T+1.9P5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001600493,TJARISB05247.5P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001900943,BHSA0521T+1.95%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001901057,BHSB0425T+2.1%P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0001901107,BHSB0324T+2.3%INF5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0002601003,STB0528T+1.75%AP20,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0002601177,STBSC1126T+2.8P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003100781,BNASB825T+2.25P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003400447,ABSUB0922T+1.3%P10,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003400504,ABSB02227.45%AP7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003600483,ATB0523T+1.25%AP16,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003600491,ATB0527T+1.75%AP20,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003600509,ATB0532T+2.0%AP25,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003600640,ATBSA325T+2.05P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0003600657,ATBSB0328T+2.1AP10,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0004620191,BTKSB12217.45%P7-2,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0004700647,ATLB0221T+2.35%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0004700696,ATLB0322T+2.35%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0004700738,ATLB0323T+2.35%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0006610513,TJLSB0623T+2.3%AP5,102.000,102.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0007190143,UNIFAC0221T+2.5%P5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0007190168,UNIFAB1123T+2.5%P5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0007310287,HLA0321T+2.35%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,21,TN0007310352,HLA0222T+2.35%AP5,100.000,100.000,0.000,0.000,0,0,0.000
04/01/2021,32,TN0001100312,SFBTDA1/2(11/4/02),11.390,54.850,0.000,0.000,0,0,0.000
04/01/2021,32,TN0002200251,BTDA1/7(3/12/01),6.000,5.050,0.000,0.000,0,0,0.000
04/01/2021,32,TN0007140031,ASSDA1/9(01/07/05),1.300,0.910,0.000,0.000,0,0,0.000
04/01/2021,99,TN0005030010,STIP,0.920,0.920,0.000,0.000,0,0,0.000
05/01/2021,11,TN0001000108,MONOPRIX,6.160,5.910,5.900,6.010,1629,10,9697.290
05/01/2021,11,TN0001100254,SFBT,19.010,18.760,18.750,18.800,18374,66,344883.790
